"English Term","Arabic Term","Arabic Definition"
"Peninusla","شبه جزيرة","يطلق لفظ شبه جزيرة على كل كتلة من اليابسة تحيط بها المياه من ثلاث جهات وتتصل باليابسة من الجهة الرابعة، مثل شبه جزيرة سيناء وشبه الجزيرة العربية وشبه جزيرة الهند الخ..."
"Penitos","بنتيوس","هو أسلوب جديد انتهجته إيطا ليا ونجحت من خلاله في كسر شوكة المنظمة الإرهابية الألوية الحمراء وغيرها من الجماعات الإرهابية، وهو أسلوب يسمى أسلوب مكافئة الإرهابيين الذين تعاونوا مع السلطات بعد القبض عليهم وذلك بمعاملتهم معاملة حسنة وتخفيف العقوبات عليهم، وهو أسلوب إغراء وغواية الإرهابي. ين"
"People","الشعب","هم مجموعة من الأفراد تتميز عن باقي الأفراد بميزة أو أكثر مثل الإقامة في منطقة معينة أو السلالة أو المهنة أو العقيدة، ويشكلون أساسا ً لقيام كيان سياسي واحد وهو الدولة."
"Peoples Administration","إدارة الشعب","وه ومصطلح يعني أن هناك تزايدا ً ملموسا ً في أعداد الجماهير المشاركة في الإدارة وسيطرة الناس على البيروقراطية وتغييرها وتبديلها من قبل الناس أنفسهم، كما حدث في الإدارة السوفيتية من قبل."
"Peoples Will","إرادة الشعب","مصطلح يطلق على الديمقراطية الحقيقية، أي أن تأتي الحكومة عبر انتخابات حرة يعطيها الشعب صوته، وذلك عن طريق التصويت الحر من جانب أفراد الشعب في الانتخابات لاختيار ممثليهم وحكومتهم."
"People’s Identity","هوية الشعب","هي الشعور القومي والانتماء الفعلي لأمة من الأمم أو لشعب من الشعوب."
"Perceptions / Spiritual","معتقدات","هي ما نعتنقه من أفكار وما نؤمن به من آراء في مختلف المجالات، وهي تظهر في نظرتنا للأمور، وقد تكون المعتقدات دينية غيبية فتكون الديانات وهي أقوى المعتقدات، والمعتقد سلوك اجتماعي أقوي وأرسخ من السلوك والعادات والقيم."
"Perestroika","البرسترويكا","هي عملية إعادة الهيكلة والبناء) في الاتحاد السوفيتي السابق (التي تبناها في الثمانينات الرئيس السوفيتي جورباتشوف، وبالتحديد في عام ١٩٨٦ م، وهي تعني محاولة إدخال إصلاحات اقتصادية وإصلاحات سياسية واسعة في الاتحاد السوفيتي وهو ما عجل بنهاية الاتحاد السوفيتي وتفككه عام ١٩٩١ م."
"Performance Evaluation","تقييم الأداء","تقييم الأداء عملية سياسية وإدارية واسعة، يجب أن تكون مصحو بة لأي مسئولية كانت، وهي جزء متمم لأي عملية إدارية علمية أو سياسية في مختلف النشاطات داخل الجماعة."
"Periodizaton Of History","التحقيب","هو مصطلح يعنى تقسيم التاريخ أو الفترات الزمنية إلى قب متميزة ح لكل حقبة طابع يميزها عما سواها، وقد تسمى عصور أو عهود أو فترات زمنية مميزة كل واحدة لها سماتها الخاصة تاريخيا ً واجتماعيا ً وعلميا ً وعقائديا ً.."
"Peripheral Areas","مناطق الأطراف","توجد في الاقتصاد العالمي، والدول في هذه المناطق إما أن تكون خاضعة لحكم استعماري أو تكون من الضعف بحيث لا تحقق درجة يعتد بها من الاستقلال."
"Personality Cult","عبادة الفرد","عبادة الفرد مصطلح يقصد به الإعجاب الشديد بشخص مشهور خصوصا ً إذا كان زعيما ً سياسيا ً."
"Persuasion","الإقناع","وهو العملية التي يحاول فيها شخص أو وسيلة إعلامية بإقناع شخص أو مجموعة من الأشخاص بتقبل رأيا أو فكرا ً أو أن يؤدي عملا ً معينا ً، ولكل شخس أو وسيلة إعلامية قدرة معينة على الإقناع، وتظهر ع مليات الإقناع أكثر أيام الانتخابات لاستقطاب الأصوات."
"Petah Tikvah","باب الأمل","وهو اسم أطلقه اليهود على أول مستوطنتين أقامهما يهودس بيافا وأس القدس في قرية ملب موها بتاح تيكفا، وأطلقوا عليهما لقب: أم المستوطنات، لأنها كانت الأولى من نوعها في إنشاء مستوطنات يهودية رسمية في فلسطين، حيث أنشئت عام ١٨٧٨ م، وأصبحت إقامة المستوطنات، منذ ذلك الحين، سمة أساسية من سمات اليهود في أرض فلسطين، حيث يقيمون المستوطنات في كل مكان لتوكيد وجودهم."
"Phalangists","المليشيات","هي جماعات مسلحة تنظم دفاعا ً عن مبدأ أو عقيدة سياسية أو دينية، أو للدفاع عن مصالح معينة، ومن أمثلتها مليشيات حزب االله في جنوب لبنان والمليشيات المارونية Maronite Military في لبنان."
"Physical Force","القوة المادية","وهي أحد ركائز السلطة) مع التأييد الجماهيري والتبرير الأخلاقي (، وتتمثل في الجيش والبوليس وأمن الدولة وتنفيذ الأحكام والقرارات وأحكام الط وارئ وخلافة من عناصر القوة المادية ٠"
